,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
93,BX 05,Fordham/University Heights,Housing Market and Conditions,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,41,205
94,BX 05,Fordham/University Heights,Housing Market and Conditions,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,"1,825",205
95,BX 05,Fordham/University Heights,Housing Market and Conditions,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,64,205
96,BX 05,Fordham/University Heights,Housing Market and Conditions,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,"2,785",205
97,BX 05,Fordham/University Heights,Housing Market and Conditions,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,178,205
98,BX 05,Fordham/University Heights,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (properties),"Total number of properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,24,205
99,BX 05,Fordham/University Heights,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (units),"Total number of units in properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,988,205
100,BX 05,Fordham/University Heights,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,31,205
101,BX 05,Fordham/University Heights,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"1,635",205
102,BX 05,Fordham/University Heights,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,60,205
103,BX 05,Fordham/University Heights,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"5,862",205
0,BX 06,Belmont/East Tremont,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,55.5%,54.8%,55.9%,,,206
1,BX 06,Belmont/East Tremont,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,15.2%,18.4%,,,206
2,BX 06,Belmont/East Tremont,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,21.5%,27.6%,29.5%,29.9%,,,206
3,BX 06,Belmont/East Tremont,Demographics,Population,"All people, both children and adults, living in a given geographic area.","141,685","156,950","160,651","172,930",,,206
4,BX 06,Belmont/East Tremont,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,7.1%,6.2%,7.2%,10.0%,,,206
5,BX 06,Belmont/East Tremont,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,50.7%,50.2%,47.4%,35.8%,,,206
6,BX 06,Belmont/East Tremont,Demographics,Single-person households,The share of households that include only one person.,,28.2%,29.1%,36.0%,,,206
7,BX 06,Belmont/East Tremont,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,0.8%,0.6%,0.7%,0.6%,,,206
8,BX 06,Belmont/East Tremont,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,34.5%,32.2%,30.2%,36.1%,,,206
9,BX 06,Belmont/East Tremont,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,57.3%,61.8%,63.6%,58.9%,,,206
10,BX 06,Belmont/East Tremont,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,5.4%,4.1%,4.1%,3.2%,,,206
11,BX 06,Belmont/East Tremont,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.55,0.51,0.50,0.52,,,206
12,BX 06,Belmont/East Tremont,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.8,5.3,6.5,,,206
13,BX 06,Belmont/East Tremont,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$30,550","$24,430","$24,970","$24,800",,,206
14,BX 06,Belmont/East Tremont,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$67,210","$72,950","$81,580",,,206
15,BX 06,Belmont/East Tremont,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$22,460","$23,060","$22,890",,,206
16,BX 06,Belmont/East Tremont,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,45.5%,43.5%,43.5%,40.3%,,,206
17,BX 06,Belmont/East Tremont,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,38.2%,37.4%,46.9%,,,206
18,BX 06,Belmont/East Tremont,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,55.2%,58.6%,50.2%,,,206
19,BX 06,Belmont/East Tremont,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,53.3%,53.3%,55.0%,,,206
20,BX 06,Belmont/East Tremont,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,43.1%,40.1%,32.4%,,,206
21,BX 06,Belmont/East Tremont,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",21.16%,13.09%,17.09%,11.49%,,,206
22,BX 06,Belmont/East Tremont,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,8.5%,8.0%,7.4%,5.1%,,,206
23,BX 06,Belmont/East Tremont,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"55,752","56,004","66,971",,,206
24,BX 06,Belmont/East Tremont,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,4.5%,2.0%,,,206
25,BX 06,Belmont/East Tremont,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,182.4,136.6,188.7,148.0,209.7,206
